First,Last,Email,Phone,Country,Zip,Date Activated,Deal Stage
Michael,Phillips,jason@moxie.xyz,1242463980,United States,93715,,cold
Mohit,Kukreja,info@hub.inc,1242463981,Canada,J6R,17-Dec-91,warm
Mark,Walz,vengat@klenty.com,1242463982,Canada,E3G,18-Dec-91,cold
Tonya,,team@buyerassist.io,1242463983,United States,77305,19-Dec-91,planned
Ben,Cohen,bad email,1242463984,United States,14205,20-Dec-91,cold
Nvard,Simonyan,hello@markaaz.com,1242463985,United States,32595,21-Dec-91,lost
Sagar,Sagiraju,sales@nektar.ai,1242463986,Canada,H3G,22-Dec-91,meeting
Richard,Bewley,preena@klenty.com,1242463987,United States,40298,23-Dec-91,planned
Ruairi,Galavan,info@mindzie.com,,United States,96850,24-Dec-91,new
Adam,Zelinski,info@medisponsor.com,1242463989,United States,84170,25-Dec-91,cold
Anais,Mares,info@arrowxyz.com,1242463990,United States,32209,26-Dec-91,cold
Lucia,Lu,support@data-lead.com,1242463991,United States,32605,27-Dec-91,planned
Vishu,Gopal,admin@uptics.io,1242463992,United States,37665,28-Dec-91,
Theo,Taisei,ranjit@klenty.com,1242463993,United States,98115,29-Dec-91,cold
Tsukino,Nishio,karthik@klenty.com,123994,United States,89193,,warm
,Grinvald,info@uncommongood.io,1242463995,Canada,H4S,5-Dec-78,cold
Vengat,Krishnaraj,info@carlavia.com,1242463996,,,6-Dec-78,cold
Preena,Francis,sales@sprucegooseco.com,1242463997,United States,77705,7-Dec-78,new
Bhuvanesh,Ram,nantha@klenty.com,1242463998,United States,68134,8-Dec-78,cold
Ranjit,C J,info@heyparo.com,1242463999,United States,10004,9-Dec-78,
Vikram,Vijayaraman,info.njoftime.al@gmail.com,1242464000,United States,73190,10-Dec-78,lost
Sujitha,S,hello@usecanopy.com,1242464001,United States,22301,11-Dec-78,lost
Karthik,Natarajan,ceo@legid.app,1242464002,United States,75260,12-Dec-78,new
Mari,,arthy@klenty.com,1242464003,Canada,E3G,13-Dec-78,cold
Arthy,Sekar,support@willhire.co,1242464004,United States,16565,14-Dec-78,cold
Nantha,Kumar,hello@omnicann.io,1242464005,,,15-Dec-78,new
Kraig,Swensrud,tigh@forcery.com,1242464006,Canada,S4A,16-Dec-78,cold
Erik,Sikola,support@myedens.com,1242464007,United States,15266,17-Dec-78,planned
Sean,Whitely,info@inforintelligence.com,1242464008,Canada,S9H,,lost
Dave,Harutian,Sami@lemon.ltd,1242464009,United States,29424,18-Oct-93,planned
Cody,Lundquist,concierge@roomplays.com,1242464010,Canada,E5B,3-Aug-91,cold
Hung,Truong,info@smartfoxtechnologies.com,1242464011,United States,92648,5-Aug-93,meeting
Sergei,Kovalenko,contact@actionaly.com,1242464012,United States,47719,6-Aug-93,planned
Camille,Marti,hello@agiled.app,1242464013,,,7-Aug-93,cold
Miri,Ohashi,,1242464014,Canada,B0N,8-Aug-93,planned
Marie-Claire,Beaufait,,1242464015,Canada,V4W,9-Aug-93,planned
Larissa,Squires,contact@timly.com,1242464016,Canada,T4X,10-Aug-93,meeting
Hiromi,Koch,info@nutriapptech.com,1242464017,Canada,J8Y,11-Aug-93,new
Heather,Roths,,1242464018,,,12-Aug-93,cold
Paul,Dinero,hello@Infoscalez.com,1242464019,,,13-Aug-93,meeting
Michael,Paterson,mikeliou0524@gmail.com,1242464020,Canada,L7A,14-Aug-93,meeting
Kim,Hellbom,,1242464021,,,15-Aug-93,new
Jon,Brockway,info@crownsfield.pk,1242464022,United States,11044,16-Aug-93,cold
Lisa,Primeau,info@monetizegtm.com,1242464023,United States,34615,17-Aug-93,cold
Kaitlin,Petterson,sales@seqwens.com,1242464024,United States,20709,18-Aug-93,meeting
Abdemanaf,Tambawala,info@miyn.app,1242464025,,,19-Aug-93,lost
Ankita,,eazy@eazyplan.com,1242464026,Canada,G8J,,lost
Tara Ann,Larson,marie@houseofyards.com,1242464027,United States,33416,,planned
Ryan,Steinberg,info@techf.com,1242464028,Canada,B3S,26-Jul-95,meeting
Jordan,Neill,,1242464029,United States,22119,27-Jul-95,cold
Mark,Iafrate,info@leadbi.co.za,1242464030,United States,92844,28-Jul-95,planned
Sandy,White,kaito@usespred.com,1242464031,United States,50362,13-Dec-91,planned
Nhat,Tran,sales@salesgear.io,1242464032,United States,92883,,lost
Aaron,,hi@leaddelta.com,1242464033,United States,11205,,new
Leandra,Fishman,info@clinigro.com,1242464034,United States,16505,26-Feb-76,cold
Robbie,Allan,hello@bmoreraw.com,1242464035,United States,90094,14-Aug-96,planned
Jackie,Joern,smruti@autosave.in,1242464036,United States,20508,15-Aug-96,meeting
